IfcCooledBeamType,GlobalId,GlobalId_IfcRoot,ENTITY
IfcCooledBeamType,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcCooledBeamType,Name,Name_IfcRoot,ENTITY
IfcCooledBeamType,Description,Description_IfcRoot,ENTITY
IfcCooledBeamType,ApplicableOccurrence,ApplicableOccurrence_IfcTypeObject,ENTITY
IfcCooledBeamType,HasPropertySets,HasPropertySets_IfcTypeObject,SET
IfcCooledBeamType,RepresentationMaps,RepresentationMaps_IfcTypeProduct,LIST
IfcCooledBeamType,Tag,Tag_IfcTypeProduct,ENTITY
IfcCooledBeamType,ElementType,ElementType_IfcElementType,ENTITY
IfcCooledBeamType,PredefinedType,PredefinedType_IfcCooledBeamType,ENTITY
IfcAdvancedBrep,Outer,Outer_IfcManifoldSolidBrep,ENTITY
IfcPropertyTemplate,GlobalId,GlobalId_IfcRoot,ENTITY
IfcPropertyTemplate,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcPropertyTemplate,Name,Name_IfcRoot,ENTITY
IfcPropertyTemplate,Description,Description_IfcRoot,ENTITY
IfcCableCarrierSegmentType,GlobalId,GlobalId_IfcRoot,ENTITY
IfcCableCarrierSegmentType,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcCableCarrierSegmentType,Name,Name_IfcRoot,ENTITY
IfcCableCarrierSegmentType,Description,Description_IfcRoot,ENTITY
IfcCableCarrierSegmentType,ApplicableOccurrence,ApplicableOccurrence_IfcTypeObject,ENTITY
IfcCableCarrierSegmentType,HasPropertySets,HasPropertySets_IfcTypeObject,SET
IfcCableCarrierSegmentType,RepresentationMaps,RepresentationMaps_IfcTypeProduct,LIST
IfcCableCarrierSegmentType,Tag,Tag_IfcTypeProduct,ENTITY
IfcCableCarrierSegmentType,ElementType,ElementType_IfcElementType,ENTITY
IfcCableCarrierSegmentType,PredefinedType,PredefinedType_IfcCableCarrierSegmentType,ENTITY
IfcFeatureElement,GlobalId,GlobalId_IfcRoot,ENTITY
IfcFeatureElement,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcFeatureElement,Name,Name_IfcRoot,ENTITY
IfcFeatureElement,Description,Description_IfcRoot,ENTITY
IfcFeatureElement,ObjectType,ObjectType_IfcObject,ENTITY
IfcFeatureElement,ObjectPlacement,ObjectPlacement_IfcProduct,ENTITY
IfcFeatureElement,Representation,Representation_IfcProduct,ENTITY
IfcFeatureElement,Tag,Tag_IfcElement,ENTITY
IfcSweptAreaSolid,SweptArea,SweptArea_IfcSweptAreaSolid,ENTITY
IfcSweptAreaSolid,Position,Position_IfcSweptAreaSolid,ENTITY
IfcElectricMotorType,GlobalId,GlobalId_IfcRoot,ENTITY
IfcElectricMotorType,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcElectricMotorType,Name,Name_IfcRoot,ENTITY
IfcElectricMotorType,Description,Description_IfcRoot,ENTITY
IfcElectricMotorType,ApplicableOccurrence,ApplicableOccurrence_IfcTypeObject,ENTITY
IfcElectricMotorType,HasPropertySets,HasPropertySets_IfcTypeObject,SET
IfcElectricMotorType,RepresentationMaps,RepresentationMaps_IfcTypeProduct,LIST
IfcElectricMotorType,Tag,Tag_IfcTypeProduct,ENTITY
IfcElectricMotorType,ElementType,ElementType_IfcElementType,ENTITY
IfcElectricMotorType,PredefinedType,PredefinedType_IfcElectricMotorType,ENTITY
IfcOuterBoundaryCurve,Segments,Segments_IfcCompositeCurve,LIST
IfcOuterBoundaryCurve,SelfIntersect,SelfIntersect_IfcCompositeCurve,ENTITY
IfcCoilType,GlobalId,GlobalId_IfcRoot,ENTITY
IfcCoilType,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcCoilType,Name,Name_IfcRoot,ENTITY
IfcCoilType,Description,Description_IfcRoot,ENTITY
IfcCoilType,ApplicableOccurrence,ApplicableOccurrence_IfcTypeObject,ENTITY
IfcCoilType,HasPropertySets,HasPropertySets_IfcTypeObject,SET
IfcCoilType,RepresentationMaps,RepresentationMaps_IfcTypeProduct,LIST
IfcCoilType,Tag,Tag_IfcTypeProduct,ENTITY
IfcCoilType,ElementType,ElementType_IfcElementType,ENTITY
IfcCoilType,PredefinedType,PredefinedType_IfcCoilType,ENTITY
IfcPile,GlobalId,GlobalId_IfcRoot,ENTITY
IfcPile,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcPile,Name,Name_IfcRoot,ENTITY
IfcPile,Description,Description_IfcRoot,ENTITY
IfcPile,ObjectType,ObjectType_IfcObject,ENTITY
IfcPile,ObjectPlacement,ObjectPlacement_IfcProduct,ENTITY
IfcPile,Representation,Representation_IfcProduct,ENTITY
IfcPile,Tag,Tag_IfcElement,ENTITY
IfcPile,PredefinedType,PredefinedType_IfcPile,ENTITY
IfcPile,ConstructionType,ConstructionType_IfcPile,ENTITY
IfcLibraryInformation,Name,Name_IfcLibraryInformation,ENTITY
IfcLibraryInformation,Version,Version_IfcLibraryInformation,ENTITY
IfcLibraryInformation,Publisher,Publisher_IfcLibraryInformation,ENTITY
IfcLibraryInformation,VersionDate,VersionDate_IfcLibraryInformation,ENTITY
IfcLibraryInformation,Location,Location_IfcLibraryInformation,ENTITY
IfcLibraryInformation,Description,Description_IfcLibraryInformation,ENTITY
IfcDuctFitting,GlobalId,GlobalId_IfcRoot,ENTITY
IfcDuctFitting,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcDuctFitting,Name,Name_IfcRoot,ENTITY
IfcDuctFitting,Description,Description_IfcRoot,ENTITY
